titulo,resumo,data_publicacao,url
Como a comunicação digital transforma a experiência do consumidor,"Painéis de LED, totens, telas e soluções inteligentes ampliam as possibilidades de comunicação em lojas, empresas, eventos e ambientes corporativos.",2026-09-08T19:52:46.750Z,https://g1.globo.com/am/amazonas/especial-publicitario/amazon-copy/noticia/2026/09/08/como-a-comunicacao-digital-transforma-a-experiencia-do-consumidor.ghtml
Por que o Brasil multou o TikTok e suspendeu lives do Discord? Entenda a diferença entre os casos,"ANPD aplicou multa de R$ 153,7 milhões ao TikTok após identificar cinco infrações à LGPD; no Discord, agência adotou medida preventiva e suspendeu transmissões ao vivo para reduzir riscos a crianças e adolescentes.",2026-08-25T12:29:25.987Z,https://g1.globo.com/tecnologia/noticia/2026/08/25/por-que-a-anpd-multou-o-tiktok-e-suspendeu-lives-do-discord-entenda-a-diferenca-entre-os-casos.ghtml
Novos médicos cooperados concluem curso de formação,O curso capacitou 8 novos médicos de várias especialidades.,2026-09-04T21:18:20.181Z,https://g1.globo.com/pe/petrolina-regiao/especial-publicitario/unimed-vale-do-sao-francisco-o-cuidado-esta-em-tudo/noticia/2026/09/04/novos-medicos-cooperados-concluem-curso-de-formacao.ghtml
Santarém lança canal digital para denúncias e reclamações sobre o SUS,Plataforma foi desenvolvida por estudantes de Medicina e permite que usuários encaminhem demandas ao Conselho Municipal de Saúde pelo celular.,2026-09-04T20:33:29.771Z,https://g1.globo.com/pa/santarem-regiao/noticia/2026/09/04/santarem-lanca-canal-digital-para-denuncias-e-reclamacoes-sobre-o-sus.ghtml
Governo lança medidas para padronizar uso de biometria em portos e aeroportos,Diretrizes anunciadas pelo Ministério de Portos e Aeroportos incluem integração de sistemas e adoção de tecnologias para agilizar embarques. Reforço da segurança é uma das metas.,2026-08-31T17:30:11.675Z,https://g1.globo.com/economia/noticia/2026/08/31/governo-quer-padronizar-uso-de-biometria-em-portos-e-aeroportos.ghtml
TikTok leva multa inédita no Brasil: o que causou a decisão? E o que muda? Veja perguntas e respostas,"Rede social foi multada em R$ 153,7 milhões por violar regras de tratamento de dados de crianças e adolescentes. Agência determinou que a empresa apresente medidas para reforçar a proteção de menores de idade.",2026-08-26T03:00:46.119Z,https://g1.globo.com/tecnologia/noticia/2026/08/26/tiktok-leva-multa-inedita-no-brasil-o-que-causou-a-decisao-e-o-que-muda-veja-perguntas-e-respostas.ghtml
Gilmar Mendes critica vazamento de conversas privadas de Vorcaro e ex-namorada e defende 'LGPD Penal',"Segundo o ministro, expor esse tipo de material representa “uma demonstração de barbárie institucional” e ultrapassa “todos os limites impostos pelas leis e pela Constituição"".",2026-03-09T19:04:08.099Z,https://g1.globo.com/politica/noticia/2026/03/09/gilmar-mendes-critica-vazamento-de-conversas-privadas-de-vorcaro-e-ex-namorada-e-defende-lgpd-penal.ghtml
Câmera escondida no banheiro do trabalho: o que diz a lei e como denunciar,Caso em Minas Gerais acendeu o alerta sobre o tema. Especialistas explicam a diferença entre assédio ou importunação sexual e registro não autorizado da intimidade.,2026-09-05T06:00:00.395Z,https://g1.globo.com/trabalho-e-carreira/noticia/2026/09/05/camera-escondida-no-banheiro-do-trabalho-o-que-diz-a-lei-e-como-denunciar.ghtml
"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores",Agência diz que rede social tratou dados de crianças e adolescentes sem respaldo legal; ByteDance também terá de adotar medidas para ampliar a proteção desse público,2026-08-25T10:04:00.869Z,https://g1.globo.com/tecnologia/noticia/2026/08/25/anpd-multa-tiktok-por-falhas-na-protecao-de-menores.ghtml
Homem-Aranha na BMW abre discussão: montadoras podem colocar propaganda na tela do carro?,"Publicidade em telas de carros conectados pode ser permitida, mas no Brasil há limites para uso de dados, informação ao consumidor, segurança e possibilidade de recusa.",2026-08-20T06:00:47.972Z,https://g1.globo.com/carros/noticia/2026/08/20/propaganda-na-tela-do-carro.ghtml
